movieId	stats
101373	1,3.00
101375	1,3.50
101379	10,1.30
101381	4,3.50
101383	3,1.83
101388	1,3.00
101398	1,3.50
1014	1602,3.37
101400	1,2.50
101402	4,2.50
101405	2,3.75
101409	1,3.50
101413	12,3.46
101415	60,3.65
101423	4,2.63
101425	13,3.85
101428	6,2.92
101431	3,3.50
101433	1,1.00
101439	1,3.00
101444	1,2.50
101446	1,3.00
101448	2,2.50
101450	2,4.00
101456	3,1.33
101458	3,2.17
101466	1,2.50
101468	1,2.50
101470	1,3.00
101476	6,3.08
101479	7,2.86
101481	1,3.00
101483	1,3.50
101485	3,2.83
101487	1,2.50
101498	59,3.74
1015	3501,3.26
101508	3,3.67
101510	1,2.00
101514	1,4.00
101525	464,3.67
101527	23,3.50
101529	44,3.40
101531	23,2.89
101534	2,2.75
101536	2,4.00
101538	2,4.50
101577	126,3.04
101579	3,3.33
101581	1,4.00
101583	3,2.50
101585	2,3.50
101590	6,3.75
101592	1,3.50
101595	1,0.50
101597	7,3.93
101599	9,3.06
1016	1460,3.12
101606	1,3.00
101612	111,2.83
101614	4,3.13
101616	1,3.00
101627	2,3.00
101629	13,3.50
101632	1,4.50
101634	1,0.50
101636	1,1.00
101640	9,3.06
101642	1,2.50
101646	3,3.83
101648	7,3.14
101650	1,3.00
101653	1,4.00
101662	3,2.17
101664	2,3.75
101666	1,2.00
101670	8,3.38
101672	8,1.81
101674	3,3.17
101678	2,4.00
101680	1,3.50
101685	2,4.00
101687	24,2.90
101689	2,3.50
101692	2,2.75
101695	1,1.50
1017	3254,3.51
101703	3,3.67
101706	2,4.25
101708	3,1.33
101710	7,3.50
101713	5,3.80
101715	3,1.17
101717	2,4.50
101719	8,3.25
101726	1,2.00
101728	2,0.50
101730	1,1.00
101734	4,2.50
101739	164,3.16
101741	215,3.30
101747	4,2.25
101749	3,3.50
101754	1,4.00
101756	5,2.80
101761	40,2.90
101763	17,3.44
101765	17,3.91
101767	3,4.00
101770	7,3.36
101782	1,4.00
101799	1,2.50
1018	1216,3.08
101801	7,3.36
101803	3,3.00
101812	3,3.50
101820	1,3.00
101823	3,2.50
101825	2,3.25
101827	5,2.50
101829	1,3.00
101833	2,2.75
101835	1,3.50
101844	3,3.33
101846	1,4.00
101848	3,4.00
101850	21,4.29
101855	3,4.33
101857	5,3.80
101862	3,3.50
101864	1084,3.51
101870	7,3.00
101872	4,3.00
101878	1,3.50
101880	9,3.50
101884	6,1.75
101887	2,3.25
101891	14,3.57
101893	47,3.06
101895	244,3.72
101897	4,3.75
1019	6215,3.55
101902	2,3.00
101904	19,3.76
101908	1,3.00
101916	1,3.00
101918	5,3.80
101920	1,2.00
101922	2,2.00
101924	2,3.00
101926	10,3.40
101935	1,3.00
101938	3,2.50
101940	6,3.00
101942	30,3.30
101944	1,2.50
101947	3,3.67
101952	3,3.17
101954	3,2.50
101957	1,2.50
101962	105,3.87
101964	10,3.60
101967	2,2.75
101969	8,3.44
101971	14,3.54
101973	132,3.69
101975	6,2.08
101979	2,2.25
101984	5,3.90
101986	1,4.50
101989	2,1.50
101991	2,3.25
101997	60,2.06
101999	3,4.00
102	1992,2.43
1020	6597,3.24
102005	18,3.28
102007	18,2.67
102009	14,2.89
102012	1,3.50
102025	2,2.25
102028	4,3.63
102033	222,3.11
102035	1,2.00
102037	4,2.13
102039	1,4.00
102047	6,3.00
102049	2,3.25
102051	19,2.82
102058	30,3.15
102060	30,3.27
102062	25,3.46
102064	2,2.25
102066	26,3.08
102070	42,3.26
102072	44,3.15
102078	1,2.00
102084	54,3.56
102086	2,3.00
102088	76,3.09
102090	1,2.00
102093	1,3.50
1021	3503,2.83
102101	2,1.75
102103	1,1.00
102107	2,4.25
102109	2,2.75
102111	6,3.17
102113	4,2.63
102115	5,2.70
102119	1,4.50
102121	1,4.00
102123	639,3.33
102125	1862,3.68
102127	8,3.56
102131	2,3.75
102138	2,3.25
102152	5,3.50
102154	32,3.16
102158	1,4.50
102160	41,3.15
102165	22,2.80
102167	6,3.92
102171	2,3.25
102174	2,3.75
102176	2,0.50
102178	2,2.75
102180	3,3.00
102188	2,2.50
102190	5,1.70
102194	560,3.73
102199	3,3.00
1022	8954,3.58
102201	2,2.50
102208	1,2.50
102213	2,3.50
102217	50,3.99
102219	1,4.50
102221	1,3.50
102224	1,3.00
102231	19,3.61
102233	1,4.00
102235	4,3.13
102242	7,3.21
102245	10,3.75
102248	2,3.00
102250	2,3.00
102252	4,4.00
102263	2,3.00
102265	2,3.00
102267	5,3.80
102269	1,4.00
102273	2,2.00
102275	3,3.33
102278	11,3.09
102280	5,3.30
102282	3,2.33
102284	1,4.00
102286	15,2.77
102290	4,3.50
102294	13,3.69
102297	1,4.00
102299	5,3.80
1023	3234,3.76
102303	3,3.33
102305	1,4.00
102323	1,3.50
102325	2,4.25
102332	1,1.50
102338	4,3.88
102340	1,4.50
102342	1,3.50
102352	1,3.00
102354	15,2.90
102356	11,2.95
102360	1,2.50
102364	2,1.75
102367	3,3.50
102369	7,3.14
102371	2,2.00
102373	2,2.75
102376	2,4.00
102378	13,3.38
102388	1,1.00
102390	8,2.06
102396	10,3.15
102399	1,3.50
1024	1085,3.18
102403	2,2.25
102407	614,3.46
102411	1,2.00
102413	3,2.50
102415	1,3.50
102419	1,3.50
102421	1,3.00
102425	2,2.00
102429	1,3.00
102432	5,3.30
102434	2,2.75
102436	2,2.00
102443	1,3.50
102445	1971,3.81
102447	1,4.00
102450	1,3.50
102459	1,0.50
102463	1,4.00
102469	19,3.32
102477	2,4.25
102479	5,3.60
102481	286,3.08
102483	2,4.00
102485	4,3.50
102487	1,2.50
102495	3,4.33
102497	2,3.50
102499	2,3.25
1025	5428,3.56
102509	1,3.00
102514	3,3.33
102517	7,3.64
102521	5,1.40
102523	1,2.50
102526	1,4.50
102529	1,3.50
102533	8,3.25
102535	8,3.25
102541	2,3.75
102544	2,3.25
102553	1,3.50
102557	4,3.38
102588	85,3.64
102590	8,3.00
102596	3,4.50
102598	1,2.00
1026	119,3.19
102602	9,3.39
102604	11,2.91
102660	7,3.07
102662	12,2.63
102664	2,3.25
102666	27,3.91
102672	2,4.50
102675	2,4.25
102677	4,3.75
102682	6,3.17
102684	167,3.05
102686	343,2.91
102688	3,3.00
1027	7695,3.28
102716	284,3.31
102720	149,3.32
102735	7,2.43
102739	1,4.00
102742	1,4.50
102747	6,3.58
102749	3,2.00
102751	1,3.50
102753	116,3.78
102758	3,2.67
102760	6,3.67
102762	3,3.50
102765	1,4.00
102777	2,2.25
102779	2,3.25
102781	3,4.17
102783	3,3.17
102792	68,3.74
102794	1,1.50
102796	1,2.00
102798	8,3.56
1028	14096,3.73
102800	256,3.76
102802	30,3.07
102804	4,3.38
102807	4,3.88
102817	4,2.50
102819	127,3.41
102826	5,3.90
102828	3,2.17
102830	2,3.00
102841	1,3.00
102843	2,2.50
102848	5,2.40
102850	2,2.25
102852	3,3.67
102854	14,2.57
102856	6,3.33
102858	7,2.36
102860	2,3.25
102862	2,3.25
102868	4,3.25
102870	2,4.25
102874	1,3.50
102876	6,2.67
102880	275,2.43
102882	1,5.00
102895	1,3.50
102897	2,3.25
102899	2,2.25
1029	8951,3.49
102901	2,2.75
102903	844,3.53
102905	50,3.11
102908	3,2.33
102910	2,3.50
102912	3,4.17
102917	1,3.50
102920	8,3.63
102922	17,2.91
102924	6,2.92
102941	14,3.39
102943	1,3.00
102949	3,2.83
102951	6,3.33
102953	4,3.63
102956	9,3.39
102961	1,3.00
102963	1,4.00
102965	2,2.50
102967	2,2.75
102969	1,3.00
102972	1,3.00
102974	6,3.08
102976	2,4.00
102978	7,2.93
102980	1,3.50
102984	5,2.70
102986	2,2.75
102989	6,3.83
102991	31,2.74
102993	410,3.74
102995	2,3.00
102997	1,3.00
103	1133,3.27
1030	3234,3.08
103003	1,4.00
103006	3,2.67
103008	2,3.25
103010	1,3.50
103017	20,3.55
103022	8,3.38
103027	98,3.54
103030	12,3.67
103032	3,3.83
103036	1,4.00
103040	4,2.38
103042	1120,3.39
103044	2,3.25
103048	163,3.69
103050	4,3.13
103052	2,3.00
103055	53,2.72
103057	11,3.18
103059	23,3.39
103064	2,3.75
103066	3,3.33
103068	1,2.50
103071	1,4.00
103075	218,2.84
103078	3,2.50
103081	7,3.79
103083	35,3.51
103085	20,2.38
103087	1,3.00
103089	1,4.00
103091	1,3.00
1031	4227,3.33
103101	2,3.50
103103	1,3.00
103105	5,2.30
103107	85,3.62
103112	1,4.00
103114	2,2.25
103116	3,3.33
103118	1,4.00
103120	4,1.88
103130	2,4.00
103132	1,3.00
103135	1,3.00
103137	174,2.99
103139	1,4.00
103141	740,3.64
103143	1,5.00
103150	6,3.08
103164	3,3.50
103166	4,4.00
103171	7,3.36
103175	1,4.00
103182	2,4.25
103186	1,1.00
103190	5,2.80
1032	7842,3.63
103203	14,3.71
103206	1,3.50
103208	9,3.33
103210	18,3.36
103212	2,1.00
103219	43,3.08
103221	12,2.92
103224	1,3.50
103226	3,2.17
103228	1026,3.34
103233	20,3.13
103235	135,3.87
103237	5,3.80
103249	954,3.36
103253	944,3.28
103255	34,3.40
103257	3,2.67
103259	5,1.80
103266	4,3.00
103269	6,3.33
103271	4,2.88
103273	4,2.88
103275	27,3.48
103277	18,3.42
103279	73,3.72
103282	2,2.25
103286	2,0.75
103288	6,3.25
103290	1,2.50
103292	2,2.75
103294	1,0.50
103299	39,3.40
1033	3982,3.43
103301	5,1.50
103303	2,1.75
103306	200,3.32
103308	5,2.70
103315	62,3.44
103317	2,2.50
103319	21,3.57
103322	1,2.50
103324	3,2.17
103328	2,2.75
103330	3,3.17
103333	1,3.50
103335	783,3.74
103339	283,3.18
103341	662,3.46
103343	4,1.50
103359	1,4.00
103361	2,3.25
103363	5,3.20
103366	63,3.05
103368	3,3.00
103370	1,1.50
103372	317,3.24
103374	1,3.00
103380	1,3.00
103382	3,2.00
103384	326,3.03
103386	10,3.55
103388	4,3.38
1034	1502,3.54
103406	1,3.00
103411	2,3.50
103413	1,4.00
103418	2,3.00
103420	1,1.00
103422	4,3.25
103424	1,3.00
103433	1,3.00
103435	1,3.00
103437	5,3.10
103439	11,3.45
103444	43,3.67
103446	2,4.00
103449	19,2.34
103452	7,3.43
103454	9,3.78
103460	2,2.25
103462	3,1.00
103465	7,3.43
103474	23,3.70
103476	3,2.33
103478	3,3.83
103481	3,1.17
103483	49,3.11
103487	3,1.50
103489	2,1.50
103493	12,3.96
103498	1,3.50
1035	14049,3.80
103500	1,4.00
103502	3,1.67
103506	6,2.75
103515	2,3.25
103517	1,2.50
103519	1,3.00
103521	8,3.31
103523	3,2.67
103525	6,3.08
103528	5,3.10
103534	5,3.60
103536	2,3.75
103539	213,3.54
103541	45,3.36
103543	27,2.85
103545	2,3.00
103547	5,1.10
103549	18,3.50
103551	1,3.50
103554	52,3.47
103557	1,3.50
103559	1,2.50
103561	10,3.55
103563	1,4.00
103567	1,2.50
103570	1,2.50
103572	10,3.80
103574	8,3.38
103576	2,3.25
103590	1,3.50
103593	2,4.50
103596	85,1.75
103598	2,4.00
1036	30399,3.93
103600	1,2.00
103602	8,3.56
103604	2,2.50
103606	97,3.68
103609	5,2.40
103611	2,3.00
103614	1,0.50
103617	1,3.00
103619	4,3.25
103621	33,3.44
103624	139,3.61
103626	2,3.00
103629	1,4.50
103631	1,4.00
103633	1,4.50
103635	2,3.50
103637	1,3.00
103639	25,3.58
103645	1,3.00
103647	2,2.50
103651	10,3.05
103653	2,2.50
103655	155,2.67
103657	5,2.40
103659	107,3.65
103661	7,3.21
103663	1,3.00
103665	14,3.50
103667	12,3.33
103669	30,2.68
103671	2,3.25
103673	1,4.50
103676	2,3.25
103681	3,2.33
103683	2,3.00
103685	28,3.05
103688	451,3.58
103690	1,4.00
103695	1,0.50
1037	7006,2.73
103721	21,2.74
103723	20,1.80
103727	61,2.75
103731	2,1.25
103736	20,3.30
103739	1,1.00
103741	2,4.25
103743	2,2.75
103745	5,3.10
103747	3,3.67
103749	5,3.10
103751	9,3.72
103753	1,5.00
103755	90,2.92
103759	2,3.00
103769	1,0.50
103772	645,3.24
103774	1,2.50
103776	5,3.70
103779	1,2.00
103784	7,3.50
103787	3,3.50
103790	1,2.00
103792	9,3.61
103794	2,3.00
103798	11,3.32
1038	233,3.23
103801	134,3.26
103806	3,3.50
103808	11,3.00
103810	294,3.36
103813	11,2.86
103816	17,3.41
103819	17,3.15
103821	4,1.75
103823	3,2.67
103825	9,2.00
103827	2,4.00
103829	1,4.00
103831	1,4.00
103834	6,3.33
103836	2,2.75
103838	3,3.17
103840	1,3.00
103842	1,4.50
103846	1,3.00
103849	22,3.73
103851	1,2.50
103861	1,3.50
103863	3,4.50
103865	3,3.50
103867	35,3.63
103869	2,1.25
103871	2,5.00
103873	2,2.75
103875	1,5.00
103877	2,3.00
103881	1,2.50
103883	228,3.20
1039	57,3.00
103908	5,1.80
103910	1,3.00
103912	1,5.00
103920	1,2.50
103923	1,0.50
103935	1,3.50
103966	1,2.50
103972	9,3.11
103974	5,3.50
103976	1,2.50
103978	2,3.00
103980	552,3.61
103982	18,2.56
103984	177,3.84
103986	1,4.50
103990	2,2.25
103994	1,4.50
103996	20,2.18
103998	2,3.50
104	17915,3.42
1040	152,3.39
104000	1,1.50
104002	1,1.50
104011	1,3.00
104013	2,3.25
104015	2,3.00
104017	2,1.00
104019	1,2.50
104028	1,3.00
104031	1,3.50
104033	3,2.50
104035	3,2.33
104039	1,1.00
104041	3,1.50
104043	1,2.00
104050	5,2.60
104054	2,2.50
104059	2,1.75
104061	1,3.00
104064	5,3.20
104066	3,3.67
104069	284,4.04
104072	10,3.55
104074	123,2.72
104076	43,2.27
104078	124,3.53
104085	5,3.30
104089	28,3.21
104091	3,2.83
104093	16,3.63
104097	12,2.96
104099	6,2.92
1041	5625,4.06
104101	2,0.75
104103	1,4.50
104116	2,3.25
104119	3,4.17
104123	10,2.05
104126	1,4.00
104129	39,3.15
104132	2,2.25
104135	5,3.20
104137	40,3.28
104139	3,2.50
104141	16,3.19
104144	21,2.74
104153	3,1.83
104155	35,3.23
104175	3,1.83
104177	8,3.69
104179	1,1.50
104181	3,1.83
1042	8327,3.45
104211	471,3.43
104213	1,2.50
104215	1,2.00
104218	89,2.31
104224	3,3.50
104226	3,2.83
104231	27,3.41
104233	3,3.83
104236	1,3.00
104239	1,3.50
104241	417,3.27
104243	307,3.09
104245	83,2.86
104247	6,3.17
104249	3,2.83
104266	2,3.75
104270	1,0.50
104272	225,3.75
104274	47,2.66
104280	5,3.30
104283	161,3.75
104285	2,3.75
104294	2,3.00
104298	7,2.57
1043	1211,3.02
104301	2,3.25
104303	144,3.09
104307	1,4.00
104309	1,3.50
104312	95,2.85
104314	4,3.63
104317	1,5.00
104319	7,3.71
104321	13,3.35
104323	20,3.25
104331	1,4.00
104335	2,3.50
104337	218,3.54
104339	145,3.49
104345	1,1.50
104350	13,3.88
104354	1,2.00
104356	14,3.46
104361	38,3.24
104363	1,2.00
104368	4,3.50
104370	1,3.00
104372	1,3.00
104374	728,3.92
104376	1,3.00
104379	9,3.22
104384	9,3.50
104386	7,3.57
104388	3,1.50
104390	3,3.33
104392	4,3.50
1044	506,3.33
104406	20,3.58
104408	3,2.83
104412	1,3.50
104414	2,3.25
104419	48,3.43
104421	7,3.57
104423	8,3.88
104431	8,2.69
104436	1,4.00
104438	1,4.00
104441	80,3.21
104449	1,3.00
104451	1,3.50
104453	1,3.50
104457	97,3.04
104459	2,2.75
104462	1,1.50
104464	1,4.00
104472	1,2.00
104480	1,3.00
104489	2,3.25
104491	1,3.00
104495	1,3.50
104498	2,3.75
1045	46,3.14
104506	4,3.88
104508	2,3.75
104513	5,2.40
104518	8,2.88
104520	20,3.63
104524	2,4.00
104526	2,2.50
104540	3,2.67
104542	2,1.50
104544	2,3.25
104546	4,1.75
104552	7,2.57
104556	3,2.17
104561	5,3.10
104563	4,2.75
104576	8,2.88
104581	1,3.50
104583	14,3.18
104588	1,1.00
104590	3,3.83
104595	3,3.67
104597	4,3.25
104599	4,3.13
1046	1287,3.99
104601	5,2.50
104604	4,4.13
104606	2,2.25
104608	4,3.25
104610	3,1.50
104612	2,3.50
104625	2,3.75
104627	2,3.25
104629	1,2.00
104631	35,3.09
104633	1,3.50
104636	15,4.23
104638	5,1.90
104640	1,3.00
104642	2,3.25
104644	2,3.25
104662	2,1.75
104664	1,1.50
104667	2,1.00
104669	7,3.29
104671	5,1.80
104673	1,2.00
104675	1,3.00
104677	3,0.83
104680	3,3.33
104685	9,2.89
104689	3,2.33
104691	3,2.33
104693	1,3.50
104698	1,2.00
1047	8522,3.43
104701	1,2.00
104712	31,3.68
104719	1,3.50
104721	1,4.50
104723	3,2.83
104726	5,3.50
104728	9,1.89
104731	2,2.75
104733	4,3.25
104736	36,3.10
104741	2,2.75
104743	1,1.00
104746	2,0.75
104757	10,3.50
104760	20,1.93
104762	9,2.72
104764	1,4.00
104767	1,3.50
104769	1,1.00
104772	1,2.00
104774	1,3.50
104776	4,3.00
104778	2,4.00
104780	6,3.58
104784	2,2.75
104795	1,3.00
104798	2,3.50
104800	1,3.50
104803	8,3.69
104805	1,1.00
104807	9,3.67
104809	3,2.33
104813	2,2.75
104815	1,2.50
104817	1,2.50
104823	1,3.50
104827	2,3.75
104829	6,4.08
104832	2,3.50
104835	1,1.50
104837	1,3.00
104839	1,3.50
104841	2475,3.75
104843	7,2.93
104847	2,2.75
104849	2,3.25
104854	3,3.67
104861	9,3.00
104863	70,3.43
104865	4,3.50
104867	3,3.33
104870	3,1.83
104872	3,3.67
104875	18,3.53
104879	895,3.92
104881	113,3.20
104883	18,3.08
1049	5039,3.41
104903	8,3.75
104906	49,3.20
104908	125,3.28
104913	810,3.92
104920	4,3.75
104923	8,3.69
104925	124,2.98
104932	1,4.50
104936	2,3.00
104938	1,4.00
104944	237,3.92
104947	8,3.13
104952	1,0.50
104954	1,1.50
104956	1,1.50
104959	4,3.63
104961	2,3.25
104969	4,2.50
104971	3,3.83
104973	2,3.50
104975	9,3.39
104984	6,3.00
104990	4,3.13
104993	1,1.50
104996	2,3.25
104998	11,3.68
105	9620,3.33
1050	1737,3.77
105001	6,3.67
105011	3,4.00
105013	3,2.50
105015	1,2.00
105017	1,3.00
105020	2,1.25
105028	12,3.42
105030	2,4.25
105032	2,3.75
105034	6,3.83
105037	79,3.04
105040	5,2.50
105042	2,1.50
105044	2,4.00
105049	2,3.00
105051	1,2.50
105053	17,3.32
105055	2,3.25
105057	2,3.25
105068	1,3.00
105071	1,2.00
105073	2,1.75
105075	11,3.41
105077	2,2.50
105079	1,1.50
105081	1,2.50
105084	2,3.25
105086	5,2.30
105089	6,3.58
105091	8,3.00
105096	4,4.00
105098	3,4.00
1051	1352,3.57
105101	4,3.38
105104	1,3.50
105115	1,1.50
105117	2,2.75
105119	1,2.00
105121	7,2.43
105126	18,3.25
105128	5,3.70
105130	10,3.70
105133	9,2.78
105135	2,4.25
105142	1,2.50
105147	4,2.88
105150	1,1.50
105155	1,4.00
105157	6,3.33
105159	16,3.63
105161	1,4.00
105163	1,4.00
105165	3,2.17
105176	4,2.00
105178	4,1.63
105181	3,2.17
105184	1,1.00
105187	1,5.00
105189	3,4.00
105191	1,5.00
105193	6,3.50
105195	9,3.44
105197	370,3.71
1052	48,3.38
105204	4,2.88
105206	5,3.50
105211	201,3.43
105213	406,3.30
105215	3,3.50
105217	9,2.89
105223	4,3.38
105227	5,3.70
105234	2,3.50
105236	1,2.50
105238	1,4.00
105240	1,1.00
105242	3,2.50
105244	3,3.17
105246	33,3.64
105248	21,3.31
105250	43,3.93
105252	1,2.50
105254	28,3.36
105257	2,3.50
105266	5,2.60
105269	5,3.40
105271	1,4.00
105275	2,1.75
105282	1,3.00
105288	4,1.75
105290	1,3.00
105292	3,3.00
105296	1,3.50
105299	2,4.00
1053	212,3.04
105302	4,3.38
105304	1,3.00
105306	1,1.50
105308	3,2.50
105310	2,2.25
105314	1,4.00
105320	1,3.00
105323	3,2.50
105325	13,2.54
105328	1,3.00
105330	2,3.75
105335	1,3.50
105338	1,3.00
105340	6,3.83
105343	4,3.75
105345	7,2.21
105347	1,3.00
105351	71,2.86
105353	1,4.00
105355	356,3.84
105357	4,3.25
105359	4,3.25
105364	7,3.93
105366	3,3.33
105368	4,2.88
105375	9,3.28
105377	1,2.00
105379	1,3.50
105382	1,3.50
105386	23,2.80
105388	2,1.50
105390	1,0.50
1054	785,3.49
105404	6,3.08
105406	1,3.00
105408	1,2.50
105410	2,3.00
105412	1,3.50
105414	2,3.75
105416	1,3.00
105420	31,3.53
105423	2,4.00
105429	33,3.76
105435	1,2.00
105439	1,4.50
105442	3,2.17
105444	1,4.50
105446	1,4.50
105448	1,4.00
105450	1,1.00
105453	2,4.00
105455	1,2.50
105463	1,4.00
105465	1,2.00
105468	117,3.21
105470	1,3.00
105474	1,3.50
105477	6,2.58
105481	1,0.50
105484	4,2.63
105490	2,2.25
105492	1,2.50
105495	3,2.83
105497	4,4.00
105499	1,2.50
1055	330,2.72
105502	3,2.50
105504	1119,3.84
105506	2,2.75
105509	11,3.50
105519	22,3.05
105521	1,1.50
105526	1,5.00
105529	1,5.00
105531	25,3.26
105533	2,3.00
105538	3,2.50
105540	1,0.50
105554	5,2.90
105560	2,2.75
105563	2,4.25
105565	1,3.00
105571	1,1.50
105575	2,4.50
105577	2,3.00
105579	5,1.00
105581	1,1.50
