userId	stats
100540	155,3.65
100541	90,4.34
100542	310,3.32
100543	307,3.70
100544	47,4.00
100545	46,4.05
100546	466,3.48
100547	22,3.80
100548	31,3.39
100549	193,3.75
10055	1039,3.31
100550	116,4.15
100551	34,3.59
100552	37,3.62
100553	20,3.58
100554	44,2.93
100555	46,3.42
100556	1389,3.79
100557	24,3.35
100558	463,3.24
100559	87,3.17
10056	137,3.45
100560	78,4.53
100561	35,3.67
100562	81,3.24
100563	340,3.77
100564	83,3.52
100565	94,2.37
100566	130,3.61
100567	391,3.68
100568	108,3.37
100569	71,3.04
10057	26,4.08
100570	21,3.36
100571	41,3.54
100572	400,3.99
100573	310,3.78
100574	32,4.22
100575	456,3.88
100576	104,4.12
100577	108,3.71
100578	503,2.88
100579	132,3.58
10058	50,3.43
100580	47,3.59
100581	156,4.06
100582	137,3.21
100583	28,3.59
100584	95,3.39
100585	61,4.20
100586	518,2.19
100587	210,3.70
100588	24,2.46
100589	165,3.46
10059	564,3.61
100590	32,3.16
100591	61,3.33
100592	248,3.39
100593	86,3.85
100594	29,3.31
100595	275,3.81
100596	941,2.62
100597	43,3.42
100598	49,2.84
100599	25,3.40
1006	60,4.01
10060	190,3.57
100600	102,3.64
100601	240,3.21
100602	186,3.03
100603	28,3.36
100604	21,2.83
100605	82,3.82
100606	21,3.12
100607	44,3.68
100608	55,4.61
100609	49,3.10
10061	255,3.95
100610	105,3.52
100611	52,4.00
100612	396,4.20
100613	32,3.66
100614	885,3.04
100615	216,3.14
100616	57,3.39
100617	24,2.92
100618	582,3.40
100619	27,4.00
10062	82,3.26
100620	153,3.26
100621	182,4.15
100622	29,3.45
100623	501,3.40
100624	130,3.92
100625	23,4.20
100626	27,3.67
100627	60,4.09
100628	30,4.07
100629	352,3.71
10063	27,4.19
100630	130,4.16
100631	216,3.63
100632	38,4.32
100633	39,3.44
100634	110,3.65
100635	540,3.58
100636	29,4.55
100637	168,4.10
100638	200,3.58
100639	834,3.47
10064	20,4.05
100640	280,3.22
100641	113,3.94
100642	52,3.29
100643	75,4.07
100644	31,3.61
100645	76,4.12
100646	25,3.42
100647	178,3.76
100648	43,3.81
100649	580,3.74
10065	86,3.08
100650	556,3.69
100651	33,3.82
100652	860,3.55
100653	43,3.30
100654	34,4.06
100655	68,4.01
100656	35,3.29
100657	22,4.14
100658	93,4.05
100659	103,2.03
10066	20,3.10
100660	90,4.19
100661	415,3.53
100662	37,3.78
100663	156,3.31
100664	31,3.55
100665	20,4.20
100666	180,3.10
100667	82,3.69
100668	42,3.48
100669	1151,3.36
10067	111,3.35
100670	27,3.37
100671	49,2.76
100672	20,4.25
100673	170,4.13
100674	532,2.86
100675	22,3.23
100676	64,3.27
100677	23,3.35
100678	21,4.24
100679	48,3.84
10068	22,4.05
100680	63,3.92
100681	213,3.57
100682	20,3.33
100683	23,3.74
100684	80,4.03
100685	497,3.46
100686	71,3.52
100687	75,3.59
100688	162,3.87
100689	20,3.10
10069	81,3.99
100690	88,3.22
100691	74,3.53
100692	27,4.00
100693	100,3.91
100694	527,3.46
100695	40,3.88
100696	42,4.08
100697	817,3.55
100698	43,3.58
100699	245,3.34
1007	276,3.06
10070	170,3.13
100700	76,3.28
100701	168,4.35
100702	80,3.07
100703	28,3.36
100704	163,3.26
100705	26,3.46
100706	114,3.45
100707	68,3.16
100708	58,4.10
100709	31,3.71
10071	48,3.27
100710	54,3.51
100711	21,2.81
100712	1361,3.77
100713	666,4.10
100714	41,3.49
100715	80,3.44
100716	81,3.76
100717	60,3.29
100718	30,3.67
100719	20,3.75
10072	89,3.83
100720	118,4.17
100721	185,3.61
100722	278,3.82
100723	51,3.73
100724	50,3.44
100725	289,3.43
100726	173,4.49
100727	24,4.67
100728	119,4.11
100729	47,3.69
10073	70,3.39
100730	20,2.98
100731	24,4.00
100732	21,2.76
100733	25,3.96
100734	39,3.79
100735	127,4.06
100736	22,3.86
100737	29,3.03
100738	683,3.37
100739	38,3.84
10074	35,3.54
100740	151,3.19
100741	23,3.74
100742	51,3.87
100743	35,3.40
100744	92,4.04
100745	152,3.51
100746	381,3.22
100747	33,4.15
100748	45,3.58
100749	34,2.59
10075	47,4.02
100750	83,4.14
100751	104,3.89
100752	22,4.23
100753	65,3.63
100754	49,3.63
100755	24,3.96
100756	22,4.43
100757	41,3.59
100758	63,3.40
100759	246,3.60
10076	90,3.48
100760	41,4.07
100761	97,3.38
100762	150,3.94
100763	90,3.17
100764	84,3.82
100765	48,3.27
100766	635,3.61
100767	21,3.67
100768	74,3.70
100769	21,3.71
10077	23,4.22
100770	22,3.75
100771	63,2.68
100772	25,3.56
100773	65,3.23
100774	46,3.50
100775	112,4.47
100776	67,4.07
100777	78,4.12
100778	584,3.16
100779	39,3.51
10078	42,3.48
100780	53,4.26
100781	1628,3.22
100782	119,4.43
100783	172,3.66
100784	20,2.95
100785	113,4.04
100786	205,3.40
100787	45,2.58
100788	213,3.49
100789	29,3.93
10079	54,2.76
100790	78,3.63
100791	622,2.26
100792	36,3.47
100793	28,3.88
100794	85,4.31
100795	29,3.69
100796	32,4.22
100797	20,2.50
100798	342,4.25
100799	72,4.15
1008	29,3.79
10080	62,3.81
100800	218,3.61
100801	1178,2.94
100802	163,3.41
100803	43,4.34
100804	798,3.47
100805	720,2.41
100806	534,4.00
100807	136,3.06
100808	142,3.62
100809	143,3.97
10081	35,3.31
100810	38,3.68
100811	22,3.25
100812	328,3.33
100813	67,3.94
100814	99,4.09
100815	31,3.29
100816	21,3.14
100817	20,3.65
100818	187,3.64
100819	45,3.16
10082	26,3.19
100820	82,3.18
100821	60,2.97
100822	48,4.10
100823	24,4.19
100824	72,4.58
100825	138,3.73
100826	78,4.04
100827	24,3.71
100828	42,4.37
100829	46,3.87
10083	245,3.72
100830	20,2.85
100831	31,3.16
100832	30,4.13
100833	24,3.92
100834	63,3.73
100835	42,3.67
100836	60,3.37
100837	323,3.14
100838	20,3.60
100839	23,3.57
10084	90,3.76
100840	46,4.26
100841	88,3.42
100842	53,3.70
100843	34,4.01
100844	51,3.90
100845	157,3.64
100846	24,2.02
100847	105,3.71
100848	184,3.87
100849	87,3.44
10085	592,3.19
100850	80,3.55
100851	107,3.62
100852	28,3.89
100853	282,3.84
100854	68,2.97
100855	113,2.22
100856	38,3.61
100857	40,4.15
100858	62,3.56
100859	34,3.97
10086	623,3.31
100860	53,3.91
100861	32,3.97
100862	192,3.20
100863	57,3.22
100864	79,3.85
100865	26,3.31
100866	24,3.75
100867	148,3.84
100868	30,4.18
100869	77,3.77
10087	103,3.86
100870	35,3.69
100871	29,4.03
100872	223,3.96
100873	69,3.48
100874	91,3.82
100875	29,4.31
100876	51,3.78
100877	41,3.68
100878	68,3.38
100879	81,3.93
10088	24,2.58
100880	41,4.20
100881	22,3.73
100882	34,3.74
100883	23,3.52
100884	23,2.70
100885	55,3.37
100886	498,3.34
100887	95,4.05
100888	361,4.09
100889	83,3.84
10089	55,3.71
100890	89,3.74
100891	24,4.10
100892	206,3.49
100893	20,1.85
100894	202,4.22
100895	500,3.32
100896	46,3.17
100897	70,3.40
100898	50,3.78
100899	21,3.50
1009	28,3.36
10090	28,3.77
100900	32,3.63
100901	58,3.89
100902	80,4.03
100903	487,3.86
100904	117,3.90
100905	38,3.39
100906	210,3.53
100907	23,3.57
100908	47,3.79
100909	259,3.43
10091	23,3.59
100910	23,3.83
100911	51,3.31
100912	49,3.61
100913	170,3.29
100914	170,4.35
100915	48,3.00
100916	86,3.95
100917	33,3.61
100918	35,3.97
100919	99,3.76
10092	46,2.78
100920	43,3.56
100921	47,3.13
100922	62,4.49
100923	103,3.64
100924	35,4.09
100925	70,3.56
100926	53,3.77
100927	606,3.51
100928	357,3.56
100929	35,3.86
10093	82,3.85
100930	309,3.34
100931	82,3.99
100932	102,3.31
100933	47,3.49
100934	253,4.02
100935	48,3.79
100936	56,3.80
100937	422,3.90
100938	662,3.75
100939	124,4.08
10094	120,3.83
100940	36,4.68
100941	50,3.84
100942	86,3.72
100943	85,4.11
100944	28,4.32
100945	74,4.05
100946	42,3.71
100947	122,3.39
100948	135,3.91
100949	44,3.33
10095	89,4.37
100950	23,3.30
100951	150,3.26
100952	63,2.95
100953	880,3.61
100954	108,3.60
100955	52,3.15
100956	82,4.57
100957	328,3.38
100958	103,3.88
100959	28,3.64
10096	104,3.73
100960	26,3.58
100961	25,3.76
100962	48,3.65
100963	82,3.61
100964	135,3.82
100965	158,4.28
100966	92,3.59
100967	22,3.32
100968	66,2.42
100969	634,3.17
10097	24,3.63
100970	121,3.68
100971	22,4.45
100972	30,3.30
100973	25,4.46
100974	38,3.74
100975	135,3.94
100976	48,3.64
100977	77,3.04
100978	93,3.72
100979	20,3.90
10098	448,3.85
100980	339,4.35
100981	201,3.40
100982	49,3.71
100983	191,3.69
100984	79,4.23
100985	25,3.84
100986	117,3.74
100987	78,3.74
100988	55,4.28
100989	48,3.54
10099	118,3.14
100990	23,3.91
100991	131,4.10
100992	869,4.05
100993	218,2.88
100994	25,3.80
100995	26,3.87
100996	263,3.13
100997	108,2.75
100998	301,3.71
100999	183,3.96
101	123,3.50
1010	38,2.82
10100	111,3.79
101000	25,3.70
101001	150,3.54
101002	323,3.72
101003	101,3.35
101004	83,3.70
101005	76,3.75
101006	49,2.08
101007	302,3.46
101008	41,3.63
101009	91,3.69
10101	166,3.05
101010	27,4.74
101011	116,3.54
101012	51,3.14
101013	57,4.16
101014	143,3.81
101015	45,3.80
101016	77,3.90
101017	57,3.97
101018	113,3.52
101019	38,3.87
10102	46,4.02
101020	21,3.62
101021	300,3.29
101022	29,3.84
101023	38,3.89
101024	160,4.22
101025	40,3.63
101026	512,3.69
101027	227,3.61
101028	25,3.18
101029	527,3.29
10103	99,3.19
101030	38,3.37
101031	261,3.64
101032	119,3.79
101033	479,2.76
101034	179,3.62
101035	83,2.07
101036	20,2.60
101037	42,3.24
101038	47,3.97
101039	22,3.64
10104	131,2.71
101040	415,4.13
101041	33,3.47
101042	46,3.85
101043	39,3.69
101044	2540,2.93
101045	41,4.29
101046	21,3.05
101047	327,3.57
101048	350,3.62
101049	127,3.59
10105	46,2.87
101050	117,3.46
101051	83,3.37
101052	49,4.31
101053	37,2.93
101054	71,3.45
101055	150,3.93
101056	23,4.00
101057	33,2.97
101058	33,3.94
101059	154,3.84
10106	233,3.68
101060	21,4.40
101061	95,3.35
101062	79,3.54
101063	580,3.58
101064	22,2.32
101065	31,3.10
101066	38,3.39
101067	56,3.96
101068	28,3.61
101069	33,3.91
10107	174,4.02
101070	44,3.86
101071	38,3.53
101072	156,3.82
101073	102,4.25
101074	127,3.88
101075	40,3.86
101076	40,4.10
101077	120,3.66
101078	46,3.39
101079	60,3.60
10108	22,4.32
101080	58,4.03
101081	257,3.52
101082	42,3.81
101083	59,4.07
101084	124,3.38
101085	406,2.99
101086	43,2.84
101087	34,3.96
101088	165,3.84
101089	71,3.71
10109	77,3.05
101090	116,3.70
101091	21,4.07
101092	23,3.30
101093	69,3.35
101094	228,4.37
101095	21,3.19
101096	102,3.85
101097	23,4.09
101098	38,3.18
101099	63,2.83
1011	719,3.15
10110	113,3.26
101100	279,3.56
101101	75,3.68
101102	77,3.47
101103	44,3.69
101104	29,4.17
101105	30,3.77
101106	76,3.28
101107	38,3.93
101108	558,3.05
101109	60,3.98
10111	57,3.58
101110	1281,3.06
101111	144,3.81
101112	283,3.37
101113	538,3.86
101114	251,3.69
101115	31,3.84
101116	44,4.08
101117	29,3.21
101118	34,1.88
101119	512,3.11
10112	409,3.06
101120	117,3.50
101121	67,3.88
101122	59,3.59
101123	55,3.40
101124	102,4.07
101125	20,3.63
101126	23,3.39
101127	2080,3.87
101128	300,3.66
101129	422,3.43
10113	42,3.77
101130	70,3.86
101131	22,3.36
101132	38,3.82
101133	123,3.63
101134	66,3.79
101135	24,3.71
101136	533,3.31
101137	248,3.86
101138	35,2.23
101139	118,3.47
10114	21,3.67
101140	627,3.76
101141	41,3.15
101142	390,3.26
101143	52,4.52
101144	48,3.96
101145	48,3.90
101146	637,3.32
101147	110,3.55
101148	39,3.00
101149	26,3.12
10115	25,3.68
101150	35,3.60
101151	43,3.81
101152	25,3.00
101153	25,3.90
101154	93,3.22
101155	1012,3.49
101156	163,3.63
101157	110,3.37
101158	51,3.68
101159	191,3.55
10116	46,3.78
101160	25,3.68
101161	74,3.42
101162	44,2.90
101163	45,3.78
101164	22,3.20
101165	1305,2.54
101166	29,3.76
101167	204,3.40
101168	42,4.06
101169	24,3.13
10117	32,3.50
101170	196,3.97
101171	1137,3.54
101172	55,2.78
101173	23,3.43
101174	268,3.52
101175	74,3.31
101176	103,3.40
101177	215,4.02
101178	260,3.51
101179	21,4.45
10118	23,3.22
101180	225,3.31
101181	92,3.45
101182	91,3.24
101183	20,3.78
101184	39,3.46
101185	47,3.49
101186	31,4.03
101187	549,3.75
101188	96,2.80
101189	69,3.27
10119	620,3.42
101190	71,3.56
101191	190,3.66
101192	46,4.65
101193	30,4.25
101194	117,3.94
101195	52,3.58
101196	42,3.46
101197	498,3.82
101198	20,4.30
101199	79,4.13
1012	118,2.69
10120	194,4.01
101200	21,3.90
101201	30,3.83
101202	35,3.81
101203	95,3.89
101204	150,4.29
101205	52,3.81
101206	159,3.64
101207	162,3.62
101208	264,3.32
101209	25,3.24
10121	1079,3.88
101210	30,3.88
101211	291,3.47
101212	20,2.38
101213	40,3.10
101214	85,4.42
101215	64,3.17
101216	270,3.40
101217	94,3.70
101218	99,3.92
101219	82,4.26
10122	20,4.05
101220	125,4.36
101221	52,3.96
101222	63,4.10
101223	74,3.89
101224	117,3.86
101225	50,3.74
101226	172,3.19
101227	26,4.19
101228	32,3.06
101229	45,3.11
10123	33,3.27
101230	134,3.36
101231	78,3.69
101232	159,3.97
101233	26,4.73
101234	763,2.99
101235	71,3.56
101236	144,3.64
101237	33,4.18
101238	71,3.45
101239	62,3.46
10124	28,3.89
101240	243,4.24
101241	140,3.68
101242	1123,2.82
101243	379,3.51
101244	46,3.43
101245	98,3.36
101246	31,3.97
101247	198,3.12
101248	20,3.95
101249	25,2.98
10125	93,3.70
101250	61,4.15
101251	78,4.27
101252	331,3.63
101253	61,3.49
101254	20,4.60
101255	21,3.05
101256	56,3.54
101257	94,3.98
101258	38,3.89
101259	53,4.00
10126	77,3.62
101260	35,4.19
101261	125,3.22
101262	165,3.88
101263	30,4.27
101264	39,3.85
101265	29,3.69
101266	226,3.39
101267	172,4.12
101268	76,3.29
101269	22,3.77
10127	141,3.18
101270	220,4.08
101271	97,4.21
101272	65,3.72
101273	62,3.69
101274	814,3.34
101275	1284,3.62
101276	47,4.19
101277	21,3.81
101278	52,3.59
101279	24,3.63
10128	37,3.35
101280	20,3.48
101281	67,3.46
101282	1142,2.99
101283	415,3.20
101284	178,3.24
101285	30,3.27
101286	130,3.64
101287	74,3.54
101288	37,4.15
101289	71,3.56
10129	485,3.52
101290	27,3.20
101291	138,3.86
101292	484,3.55
101293	78,4.02
101294	49,3.85
101295	37,3.76
101296	76,4.39
101297	54,3.69
101298	114,3.40
101299	213,3.80
1013	29,3.55
10130	30,3.63
101300	35,3.99
101301	98,3.53
101302	22,4.39
101303	39,3.09
101304	27,3.54
101305	25,3.40
101306	97,3.95
101307	21,3.64
101308	50,4.16
101309	41,3.33
10131	207,4.05
101310	33,3.55
101311	38,2.71
101312	93,2.47
101313	98,3.45
101314	55,4.36
101315	303,3.41
101316	84,3.99
101317	28,3.70
101318	54,4.18
101319	42,3.29
10132	29,4.05
101320	38,4.16
101321	297,3.82
101322	75,3.84
101323	26,3.87
101324	43,3.88
101325	49,3.78
101326	253,4.12
101327	22,3.16
101328	121,3.96
101329	610,3.92
10133	181,3.46
101330	58,4.12
101331	44,2.86
101332	82,3.75
101333	83,3.64
101334	493,3.43
101335	45,3.07
101336	68,3.10
101337	230,3.62
101338	165,3.88
101339	80,3.89
10134	58,4.55
101340	204,3.34
101341	207,3.42
101342	86,3.51
101343	20,4.00
101344	313,3.77
101345	949,3.48
101346	62,3.81
101347	85,4.13
101348	50,3.80
101349	295,3.56
10135	24,3.83
101350	28,4.29
101351	41,3.41
101352	38,3.72
101353	51,3.84
101354	205,3.54
101355	63,4.11
101356	97,3.38
101357	95,3.86
101358	63,3.14
101359	290,3.63
10136	27,4.15
101360	25,3.56
101361	77,3.10
101362	27,3.15
101363	30,3.87
101364	91,3.11
101365	148,3.52
101366	92,3.00
101367	41,3.20
101368	240,3.79
101369	38,3.18
10137	29,3.76
101370	246,3.53
101371	109,3.87
101372	646,3.24
101373	702,3.97
101374	49,4.33
101375	27,4.22
101376	113,3.58
101377	25,4.00
101378	45,3.27
101379	376,2.99
10138	64,3.68
101380	60,3.78
101381	34,3.06
101382	110,3.31
101383	87,3.36
101384	88,4.08
101385	24,3.75
101386	22,4.16
101387	88,4.44
101388	229,3.63
101389	22,3.64
10139	496,3.06
101390	95,3.28
101391	40,4.10
101392	407,4.48
